product_id_for_member,sku,stock_amount,unlimited_stock,category_id,second_category_id,title,subtitle,body,is_new,attributes,is_legal_notice_read,start_price,reserve_price,buy_now_price,is_sold_in_multiple_quantities,is_shipping_price_per_quantity_sold,fpo_amount,fpo_duration,fpo_to,av_bidders_only,auction_length,auction_end_time,delivery_pickup_allowed,delivery_must_pickup,delivery_use_bookcourier_rates,delivery_bookcourier_is_box,delivery_bookcourier_bag_size,delivery_bookcourier_selected_courier,delivery_bookcourier_service_level,delivery_bookcourier_no_restricted_items,delivery_price,payment_bank_deposit,payment_credit_card,payment_cash,payment_afterpay,payment_other,send_payment_instructions,photo_id_list,display_bold,gallery,gallery_plus,feature,super_feature,donation_recipient,folder,exclude_shipping_promotion,listing_footer_enabled,height_cm,width_cm,length_cm,weight_kg,brand,manufacturer_code,barcode_gtin,update_active_listings
"PR2","local history Early Pioneers slide",1.0000,FALSE,2682,,"Original Photographic Slide Wellington Airport 1960's Cockpit View LANDING",,"Original Photographic Slide Wellington Airport 1960's Cockpit View LANDING

Great historic slide

well packaged post",FALSE,,TRUE,5.00,5.00,,FALSE,FALSE,,1 day,,FALSE,7 day,,TRUE,FALSE,FALSE,,,,,,"8.5=Nationwide Courier Tracked - NON RURAL No P O Box;14.5=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;1.0=Postage after paying full post on the first item;2.0=Drop Off Whanganui Central - NOT RURAL;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2021-08-29 15.31.53-ink.jpeg.jpeg,FALSE,FALSE,FALSE,FALSE,FALSE,,"WEEK 1",FALSE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR3","local history Early Pioneers slide",1.0000,FALSE,1892,,"Original Photographic Slide Wainuomata 1960's from the air",,"Original Photographic Slide Wainuomata 1960's from the air

Great historic slide

well packaged post",FALSE,,TRUE,10.00,10.00,,FALSE,FALSE,,1 day,,FALSE,7 day,,TRUE,FALSE,FALSE,,,,,,"8.5=Nationwide Courier Tracked - NON RURAL No P O Box;14.5=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;1.0=Postage after paying full post on the first item;2.0=Drop Off Whanganui Central - NOT RURAL;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2021-08-29 15.37.35-ink.jpeg.jpeg,FALSE,FALSE,FALSE,FALSE,FALSE,,"OBJECTS",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR4","local history Early Pioneers slide",1.0000,FALSE,0449,,"Original Photographic Slide 1960's Blue Lake Rotorua",,"Original Photographic Slide 1960's Blue Lake Rotorua

Great historic slide


well packaged post",FALSE,,TRUE,10.00,10.00,,FALSE,FALSE,,1 day,,FALSE,7 day,,TRUE,FALSE,FALSE,,,,,,"8.5=Nationwide Courier Tracked - NON RURAL No P O Box;14.5=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;1.0=Postage after paying full post on the first item;2.0=Drop Off Whanganui Central - NOT RURAL;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2021-08-29 15.46.08-ink.jpeg.jpeg,FALSE,FALSE,FALSE,FALSE,FALSE,,"OBJECTS",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR7","sport new zealand",1.0000,FALSE,1945,,"Give It A Heave Lance Cairns New Zealand Cricket Signed Book",,"Give It A Heave Lance Cairns New Zealand Cricket Signed Book

wear to dustjacket

Internally Good+++",FALSE,,TRUE,2.00,2.00,,FALSE,FALSE,,1 day,,FALSE,7 day,,FALSE,FALSE,FALSE,,,,,,"8.5=Nationwide Courier Tracked - NON RURAL No P O Box;13.0=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;2.0=Drop Off Whanganui Central - NOT RURAL.;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2023-09-23 15.50.05.jpg;2023-09-23 15.50.12.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,,"WEEK 1",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR19","transport marine",1.0000,FALSE,6088,,"The SURGEON’S LOG Impressions of the Far East by J Johnston Abraham",,"The SURGEON’S LOG Impressions of the Far East by J Johnston Abraham

the author, an English physician, regales us with an account of his voyage on a coastal freighter through the Suez Canal to the East Indies, southeast Asia and Japan. A fascinating tale more in the style of fiction than a doctor's journal.


Hardback Thirtieth Edition 1947 with new preface and additional chapters

299 pages

great read

Hardback, no Dust Jacket.

Forty four Illustrations",FALSE,,TRUE,2.00,2.00,,FALSE,FALSE,,1 day,,FALSE,7 day,,FALSE,FALSE,FALSE,,,,,,"8.5=Nationwide Courier Tracked - NON RURAL No P O Box;13.0=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;2.0=Drop Off Whanganui Central - NOT RURAL.;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2022-04-20 09.02.41.jpg;2022-04-20 09.02.12.jpg;2022-04-20 09.02.43.jpg;2022-04-20 09.02.07.jpg;2022-04-20 09.02.49.jpg;2022-04-20 09.02.24.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,,"WEEK 1",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR25","fishing sport",1.0000,FALSE,1818,,"The Lure of the Trout by R. E. Cuthbertson 1958 hardback 1st Edition SIGNED",,"The Lure of the Trout by R. E. Cuthbertson.

Signed

Hardcover book published by Whitcombe & Tombs 1958, 69 pages with a few black and white photographs

With Repaired Dustjacket

All trout fishermen will enjoy this book by one of New Zealand’s best known anglers, R. E. (“Bob”) Cuthbertson. He has succeeded in his aim of writing something that is interesting, instructive, and at the same time humorous. Hints on the best way to catch trout in the waters Mr Cuthbertson has come to know so well are illustrated by accounts of amusing incidents encountered during a lifetime of fishing. 

To conclude the book there is a chapter in verse devoted to, the death of a favorite dog, ‘Major’, who accompanied the author on many a fishing jaunt. Well-known anglers who read the book before publication are full of praise for it.


Good++++ Internally Very Clean 

No Dustjacket

First edition

69 pages",FALSE,,TRUE,25.00,25.00,35.00,FALSE,FALSE,,1 day,,FALSE,7 day,,FALSE,FALSE,FALSE,,,,,,"8.5=Nationwide Courier Tracked - NON RURAL No P O Box;14.5=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;1.0=Postage after paying full post on the first item;2.0=Drop Off Whanganui Central - NOT RURAL;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2022-04-19 15.14.41.jpg;img20201125175035.jpg;img20201125175047.jpg;img20201125175056.jpg;img20201125175024.jpg;2022-04-19 15.14.35.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,,"WEEK 1",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR27","War New Zealand marine",1.0000,FALSE,1820,,"The Story of HMNZS Hickleton And HMNZS Santon 193 pages",,"A Kiwi on Our Funnel

The story of HMNZS Hickleton and HMNZS Santon, two small ships manned by the Royal New Zealand Navy during 'Confrontation' - an undeclared war between Indonesia and Malaysia in 1965-66. 

The book includes several maps and action photographs. 194 pages.

Gerry Wright joined the Royal New Zealand Navy as a 16 year old Seaman Boy in 1955 and retired in 1981 when told he was too old to go to sea. During his career he took part in the British nuclear weapons tests off Christmas Island, commanded three naval ships, and was a trained helicopter controller and Principal Warfare Office.

Cardcovered 

193 pages

some damage to the cover see photo

 and page edges ( Minor)",FALSE,,TRUE,12.00,12.00,20.00,FALSE,FALSE,,1 day,,FALSE,7 day,,FALSE,FALSE,FALSE,,,,,,"8.50=Nationwide Courier Tracked - NON RURAL No P O Box;14.50=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;1.0=Postage after paying full post on the first item;2.0=Drop Off Whanganui Central - NOT RURAL;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2022-04-19 15.21.28.jpg;2022-04-19 15.21.42.jpg;2022-04-19 15.21.47.jpg;2022-04-19 15.21.53.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,,"WEEK 1",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR30","transport air art",1.0000,FALSE,1819,,"Camera Above the Clouds : the aviation photographs of Charles E. Brown Volume 2",,"Camera Above the Clouds : the aviation photographs of Charles E. Brown, Volume 2 

This collection of photographs contains such aviation bench-marks as the test-flights of the Avro Lancaster, the test of Britain's first jet fighter - the English Electric Lightning, and shots of the world's only jet-powered flying-boat, The Saunders Roe SR.A1.

1985

175 Pages Hardback 

ex library 

- Usual stamps some binding issues 

Full page photographs on glossy quality pages...

Great reading",FALSE,,TRUE,25.00,25.00,,FALSE,FALSE,,1 day,,FALSE,7 day,,FALSE,FALSE,FALSE,,,,,,"8.5=Nationwide Courier Tracked - NON RURAL No P O Box;14.5=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;1.0=Postage after paying full post on the first item;2.0=Drop Off Whanganui Central - NOT RURAL;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2023-09-23 19.21.31.jpg;2023-09-23 19.21.46.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,,"WEEK 1",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR42","car autobio",1.0000,FALSE,9806,,"Stirling Moss His Life - published 2015 304 pages",,"In this very personal book, Stirling Moss guides the reader through his motor racing life with a fascinating, insightful and often amusing commentary to an unrivalled collection of over 300 photographs, many of which will be unfamiliar to even his most ardent fans. He takes us from his childhood to the height of his fame as 'Mr Motor Racing' and then to the sudden end of his career with that crash at Goodwood in 1962. Along the way we dwell on his finest moments as well as the setbacks, and delight in the sheer variety of machinery - almost 100 different cars - in which he competed during his rollercoaster racing life. This is a book that all motor racing enthusiasts will treasure.

- Starting in 1948, he made his name in little 500cc Coopers, moving towards stardom in HWM, ERA and Cooper F2 cars, then his own F1 Maserati 250F.

- The 1955 Mercedes season and its twin highlights – winning the Mille Miglia and the British Grand Prix.

- His longing to win in British cars was rewarded with two fine F1 seasons at Vanwall (1957–58), with whom he came very close to winning the F1 World Championship, and sports car successes with Aston Martin.

- Rear-engined Cooper and Lotus F1 cars with Rob Walker (1958–62), including two celebrated Monaco GP wins. and more 

 This book is a coverage of his complete career to mark his reaching three score years and ten.

Hardback

304 pages

Vg condition

with protective cover",FALSE,,TRUE,55.00,55.00,62.00,FALSE,FALSE,,1 day,,FALSE,7 day,,FALSE,FALSE,FALSE,,,,,,"8.5=Nationwide Courier Tracked - NON RURAL No P O Box;14.5=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;1.0=Postage after paying full post on the first item;2.0=Drop Off Whanganui Central - NOT RURAL;11.0=POBox Waiheke Island Stewart Island Pleasant Point;",FALSE,TRUE,TRUE,TRUE,,TRUE,2023-10-01 16.00.33.jpg;2022-04-10 07.57.04.jpg;2022-04-10 07.57.13.jpg;2022-04-10 07.57.16.jpg;2022-04-10 07.57.36.jpg;2023-10-01 16.00.19.jpg;2023-10-01 16.00.03.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,,"Dec25",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
"PR43","local history Early Pioneers art coins",1.0000,FALSE,1817,,"History And Examples Of Bank of New Zealand Banknotes 1861 - 1934",,"History And Examples Of Bank of New Zealand Banknotes 1861 - 1934


Bank of New Zealand Banknotes 1861-1934 by R H Griffin

Paperback printed in 1987

74 pages

  good++++ condition


Produced to celebrate the 125th year of the bank",FALSE,,TRUE,2.00,2.00,18.00,FALSE,FALSE,,1 day,,FALSE,7 day,,FALSE,FALSE,FALSE,,,,,,"8.50=Nationwide Courier Tracked - NON RURAL No P O Box;14.00=Nationwide Courier Tracked - RURAL Only;0.0=Pick up No Cost;2.0=Drop Off Whanganui Central - NOT RURAL.;11.0=Waiheke Island Or Stewart Island Or Pleasant Point;5.5=Posted with stamps NOT TRACKED;11.0=P O Box Address - NZ POST;",FALSE,TRUE,TRUE,TRUE,,TRUE,2022-04-19 15.31.45.jpg;2022-04-19 15.31.17.jpg;2022-04-19 15.31.24.jpg;2022-04-19 15.31.36.jpg,FALSE,FALSE,FALSE,FALSE,FALSE,,"WEEK 1",TRUE,TRUE,0.0000,0.0000,0.0000,0.0000,,,,FALSE
